url,template,kw_primary,h1,title,meta_len,meta
/iso-22000,certification,casa dell'acqua,ISO 22000: sicurezza alimentare delle case dell'acqua,ISO 22000 | Sicurezza Alimentare Artide,128,"Case dell'acqua Artide conformi ISO 22000: HACCP, controlli microbiologici, tracciabilità. Acqua sicura per tutti i consumatori."
/iso-9001,certification,produttore case dell'acqua,ISO 9001: qualità certificata nelle case dell'acqua,ISO 9001 | Case dell'Acqua Artide,124,Artide è certificata ISO 9001 per la progettazione e produzione di case dell'acqua ed erogatori. Processi qualità tracciati.
/manutenzione,service,manutenzione case dell'acqua,Manutenzione case dell'acqua: contratti e garanzia a vita,Manutenzione Case dell'Acqua | Artide,134,"Manutenzione case dell'acqua Artide: contratti full-service, garanzia a vita del prodotto, ricambi originali, interventi in 24–48 ore."
/moca,certification,casa dell'acqua,Conformità MOCA per case dell'acqua ed erogatori,MOCA | Case dell'Acqua Conformi | Artide,121,Case dell'acqua Artide conformi al regolamento MOCA (Materiali e Oggetti a Contatto con Alimenti): sicurezza certificata.
/osa,certification,produttore case dell'acqua,Artide è un OSA: Operatore del Settore Alimentare,OSA | Artide Case dell'Acqua,129,Artide è registrata come OSA (Operatore del Settore Alimentare): case dell'acqua prodotte e manutenute sotto vigilanza sanitaria.
/potabilizzazione,service,osmosi inversa,Potabilizzazione acqua con osmosi inversa,Potabilizzazione Acqua | Osmosi Inversa Artide,122,"Impianti di potabilizzazione Artide con osmosi inversa per acquedotti, condomini e mense. Acqua potabile certificata 24/7."
/prodotti,hub,casa dell'acqua,"Prodotti Artide: case dell'acqua, erogatori e totem",Prodotti Artide | Case dell'Acqua ed Erogatori,141,"Gamma completa Artide: case dell'acqua per comuni, erogatori per mense e uffici, totem pagamento, sistemi osmosi inversa. Scopri i cataloghi."
/produzione-tessere,service,casa dell'acqua,Tessere e badge per case dell'acqua,Tessere Case dell'Acqua | Artide,131,"Produzione tessere RFID e badge personalizzati per case dell'acqua: grafica su misura, stampa in alta definizione, consegna rapida."
/progettazione,service,casa dell'acqua capitolato,Progettazione case dell'acqua su capitolato comunale,Progettazione Case dell'Acqua | Artide,140,"Progettazione case dell'acqua su capitolato: dimensionamento idraulico, architettura, allacci, domanda autorizzazioni. Risposta in 7 giorni."
/rohs,certification,casa dell'acqua,Conformità RoHS delle case dell'acqua Artide,RoHS | Case dell'Acqua Artide,121,Case dell'acqua Artide conformi alla direttiva RoHS: nessuna sostanza pericolosa nei componenti elettrici ed elettronici.
/sanificazione,service,manutenzione case dell'acqua,Sanificazione case dell'acqua ed erogatori,Sanificazione Case dell'Acqua | Artide,137,"Sanificazione periodica case dell'acqua ed erogatori con protocolli HACCP: analisi, igienizzazione UV, tracciabilità. Conformi ISO 22000."
/servizi,hub,manutenzione case dell'acqua,Servizi Artide per case dell'acqua ed erogatori,Servizi Artide | Case dell'Acqua ed Erogatori,139,"Dalla progettazione alla manutenzione case dell'acqua: telecontrollo, sanificazione, riqualificazione, sviluppo software. Un partner unico."
/sviluppo-software,service,telecontrollo case dell'acqua,Sviluppo software per case dell'acqua ed erogatori,Software Case dell'Acqua | Artide,132,"Software proprietario Artide per telecontrollo case dell'acqua, gestione tessere, dashboard comuni. Integrazione con i tuoi sistemi."
/team,team,produttore case dell'acqua,Il team Artide: professionisti delle case dell'acqua,Team Artide | Case dell'Acqua ed Erogatori,138,"Il team Artide: ingegneri, tecnici e consulenti specializzati in case dell'acqua, osmosi inversa e telecontrollo. Conosci chi ti supporta."
/telecontrollo,service,telecontrollo case dell'acqua,Telecontrollo case dell'acqua: gestione remota in tempo reale,Telecontrollo Case dell'Acqua | Artide,130,"Telecontrollo case dell'acqua Artide: monitoraggio consumi, allarmi, ricariche tessere e report per comuni e gestori idrici, 24/7."
/totem-casa-dell-acqua,product,casa dell'acqua,Totem di pagamento per case dell'acqua,Totem Pagamento Case dell'Acqua | Artide,122,"Totem di pagamento e ricarica tessere per case dell'acqua: contactless, contanti, app. Integrati con telecontrollo Artide."
/trasformazione,service,riqualificazione case dell'acqua,Riqualificazione case dell'acqua esistenti,Riqualificazione Case dell'Acqua | Artide,140,"Riqualificazione case dell'acqua di altri produttori: sostituzione impianto osmosi inversa, telecontrollo, estetica. Garanzia totale Artide."
/wiki,hub,casa dell'acqua,Wiki Artide: guide su case dell'acqua ed erogatori,Wiki | Artide Case dell'Acqua,110,"Wiki Artide: guide, manuali e domande frequenti su case dell'acqua, erogatori, osmosi inversa e telecontrollo."
/wiki-casa-dell-acqua,wiki,casa dell'acqua,Wiki Casa dell'Acqua: come funziona e come gestirla,Wiki Casa dell'Acqua | Guide | Artide,120,"Guide tecniche sulla casa dell'acqua: funzionamento osmosi inversa, sanificazione, telecontrollo, capitolato per comuni."
/wiki-totem-pagamento,wiki,casa dell'acqua,Wiki Totem di pagamento per case dell'acqua,Wiki Totem Pagamento | Case dell'Acqua | Artide,105,"Guide sul totem di pagamento per case dell'acqua: ricarica tessere, metodi di pagamento, gestione guasti."
/blog,article_archive,casa dell'acqua,Blog Artide: novità su case dell'acqua ed erogatori,Blog Artide | Case dell'Acqua,129,"Comunicazioni ufficiali, inaugurazioni e approfondimenti su case dell'acqua, osmosi inversa, sostenibilità e consumo consapevole."
/l/blog-artide-innovazione-con-schneider,article,casa dell'acqua,Artide Rinnova il Mercato con il Partner Schneider Elettric,Artide Rinnova il Mercato con il Partner Schneider E… | Artide,140,Artide rivoluziona il mercato dell'innovazione con il partner Schneider Electric: scopri le ultime novità e soluzioni tecnologiche avanzate.
/l/blog-artide-ottiene-la-certificazione-iso-14001,article,casa dell'acqua,Artideè dal 22 Aprile 2024 certificata ISO 14001,Artideè dal 22 Aprile 2024 certificata ISO 14001 | Artide,148,"Scopri come la certificazione ISO 14001 di Artide potenzia la gestione ambientale, promuovendo la sostenibilità e il rispetto per il nostro pianeta."
/l/blog-attiva-la-3-casa-dellacqua-del-comune-di-merate-mi,article,casa dell'acqua,Attivata la Terza Casa dell'Acqua a Merate da Lario Reti Holding,Attivata la Terza Casa dell'Acqua a Merate da Lario … | Artide,156,"Lario Reti Holding attiva la terza Casa dell'Acqua a Merate. Servizio di erogazione d'acqua potabile per i residenti, promuovendo sostenibilità e risparmio."
/l/blog-bi-rex-e-schneider-electric-innovano,article,casa dell'acqua,Industria del Futuro: BI-REX e Schneider Electric Innovano,Industria del Futuro: BI-REX e Schneider Electric In… | Artide,150,Scopri come BI-REX e Schneider Electric rivoluzionano l'industria manifatturiera con digitalizzazione e sostenibilità. Innovazione e impatto positivo.
/l/blog-borracce-sporche-piu-dell-wc,article,casa dell'acqua,Borracce contengono 40mila volte più batteri di una tavoletta del WC,Borracce contengono 40mila volte più batteri di una … | Artide,127,Scopri i consigli del dott. Luca Lucentini sull'uso e la pulizia delle borracce per mantenere l'acqua sempre sicura e salutare.
/l/blog-casa-dell-acqua-albairate-inaugurazione,article,casa dell'acqua,Taglio del nastro per la nuova casa dell'acqua di Albairate,Taglio del nastro per la nuova casa dell'acqua di Al… | Artide,156,"Albairate celebra l'inaugurazione della 200ª Casa dell'Acqua di Artide e CAP, garantendo ai cittadini accesso a acqua potabile sicura e sostenibile. Scopri…"
/l/blog-casa-dell-acqua-cuggiono-inaugurazione,article,casa dell'acqua,Taglio del nastro per la nuova casa dell'acqua di Cuggiono,Taglio del nastro per la nuova casa dell'acqua di Cu… | Artide,120,"Inaugurata il 4 marzo da Artide, la Casa dell'Acqua a Cuggiono offre acqua naturale e frizzante illimitata ai cittadini."
/l/blog-casa-dell-acqua-cusago-inaugurazione,article,casa dell'acqua,Inaugurazione Casa dell'Acqua a Cusago: Sostenibilità in Azione,Inaugurazione Casa dell'Acqua a Cusago: Sostenibilit… | Artide,154,"Scopri i dettagli dell'inaugurazione della nuova Casa dell'Acqua di Cusago, evento chiave per promuovere l'accesso all'acqua potabile in modo sostenibile."
/l/blog-casa-dell-acqua-rescaldina,article,casa dell'acqua,Taglio del nastro per la nuova casa dell'acqua di Rescaldina,Taglio del nastro per la nuova casa dell'acqua di Re… | Artide,134,"Scopri la nuova casa dell'acqua di via Gramsci a Rescaldina, inaugurata sabato 24 giugno. Un impianto realizzato da Gruppo CAP per te!"
/l/blog-casa-dell-acqua-sala-baganza-inaugurazione,article,casa dell'acqua,"Sala Baganza, inaugurata la fontana pubblica","Sala Baganza, inaugurata la fontana pubblica | Artide",156,"Scopri la suggestiva fontana pubblica di Sala Baganza, realizzata in pietra e ferro battuto e inaugurata il 5 febbraio 2011. Un simbolo di Piazza Garibaldi."
/l/blog-casa-dellacqua-circolo-il-magnolia-2024,article,casa dell'acqua,Casa dell'Acqua al Circolo Magnolia: Sostenibilità,Casa dell'Acqua al Circolo Magnolia: Sostenibilità | Artide,156,"Scopri come il Circolo Magnolia, insieme a CAP, promuove la sostenibilità con la nuova Casa dell'Acqua, un progetto innovativo per il benessere della comun…"
/l/blog-casa-dellacqua-indistruttibile,article,casa dell'acqua,Resilienza Casa dell'Acqua Artide in Maltempo,Resilienza Casa dell'Acqua Artide in Maltempo | Artide,143,"Scopri come la casa dell'acqua di Artide per BrianzAcque ha resistito a un'inondazione senza danni, dimostrando eccezionale qualità costruttiva"
/l/blog-casargo-inaugura-la-nuova-casetta-dell-acqua-sostenibile,article,casa dell'acqua,Casargo inaugura la nuova casetta dell'acqua sostenibile,Casargo inaugura la nuova casetta dell'acqua sosteni… | Artide,156,"A Casargo, la nuova casetta dell'acqua sostenibile di Lario Reti Holding offre acqua potabile filtrata, naturale e frizzante, promuovendo un futuro eco-fri…"
/l/blog-cavenago-inaugura-e-riapre-le-casette-dell-acqua,article,casa dell'acqua,Cavenago inaugura e riapre le casette dell'acqua,Cavenago inaugura e riapre le casette dell'acqua | Artide,156,"Cavenago promuove la sostenibilità con l'inaugurazione di una nuova casetta dell'acqua e la riapertura di un'altra, riducendo l'uso di plastica e miglioran…"
/l/blog-come-lavare-le-borracce,article,casa dell'acqua,Come Usare le Borracce,Come Usare le Borracce | Artide,144,Scopri come lavare e mantenere pulite le borracce per un uso sicuro e igienico. Segui i nostri consigli pratici per una corretta pulizia e cura.
/l/blog-convegno-aiaq-27-settembre-2024-dissalazione-delle-acque-e-osmosi-inversa,article,casa dell'acqua,Convegno AIAQ: Dissalazione delle Acque e Osmosi Inversa,Convegno AIAQ: Dissalazione delle Acque e Osmosi Inv… | Artide,156,"AIAQ organizza un convegno sulla dissalazione delle acque: tecnologie avanzate, osmosi inversa e aggiornamenti normativi di settore. Evento riservato agli …"
/l/blog-costo-acqua-bottiglia-2023,article,casa dell'acqua,Risparmia €400 all'anno con la Casa dell'Acqua,Risparmia €400 all'anno con la Casa dell'Acqua | Artide,147,Scopri come risparmiare fino a €438 all'anno per una famiglia di 3 persone scegliendo Casa dell'Acqua invece delle bottiglie d'acqua. Leggi di più!
/l/blog-disinfettare-casa-con-i-raggi-uvc,article,casa dell'acqua,Disinfettare la Casa con i Raggi UVC,Disinfettare la Casa con i Raggi UVC | Artide,154,Disinfettare la casa con i raggi UVC è facile grazie alla lampada da tavolo Philips: un modo efficace per sanificare l'ambiente in modo semplice e sicuro.
/l/blog-giornata-mondiale-dell-acqua-2023,article,casa dell'acqua,Giornata Mondiale dell'Acqua 2023: Consumo in Italia supera media UE,Giornata Mondiale dell'Acqua 2023: Consumo in Italia… | Artide,149,Scopri il rapporto del WWF sulla giornata mondiale dell'acqua 2023 e il consumo di acqua in Italia. Impatti e soluzioni per una gestione sostenibile.
/l/blog-importanza-di-bere-correttamente-giornata-mondiale-alimentazione,article,casa dell'acqua,Importanza di Bere Correttamente: Giornata Mondiale Alimentazione,Importanza di Bere Correttamente: Giornata Mondiale … | Artide,141,Bere correttamenteè essenziale per la salute. Scopri l'importanza dell'acqua sicura e sostenibile nella Giornata Mondiale dell'Alimentazione.
/l/blog-inaugurata-casa-dellacqua-del-comune-roncello-mb,article,casa dell'acqua,Inaugurata a Roncello la Nuova Casa dell'Acqua: Un Servizio per Tutti,Inaugurata a Roncello la Nuova Casa dell'Acqua: Un S… | Artide,152,"La nuova Casa dell'Acqua di Roncello offre acqua naturale e frizzante gratuitamente, con tessere ricaricabili disponibili per l'acquisto. Scopri di più."
/l/blog-inaugurata-la-100-casa-dellacqua-di-brianzacque,article,casa dell'acqua,è di Artide la 100° Casa dell'Acqua Inaugurata da BrianzAcque,è di Artide la 100° Casa dell'Acqua Inaugurata da Br… | Artide,143,"Inaugurata la 100ª Casa dell'Acqua di Brianzacque: accesso all'acqua potabile, sostenibilità ambientale e eventi nel territorio. Scopri di più!"
/l/blog-inaugurata-la-2-casa-dell-acqua-del-comune-di-arese-mi,article,casa dell'acqua,Inaugurata la Nuova Casa dell'Acqua ad Arese: Servizio Gratuito per…,Inaugurata la Nuova Casa dell'Acqua ad Arese: Serviz… | Artide,147,Scopri la nuova Casa dell'Acqua ad Arese. Servizio gratuito di acqua naturale e frizzante per i residenti. Sostenibilità e qualità per la comunità.
/l/blog-inaugurata-la-3-casa-dell-acqua-del-comune-usmate-velate,article,casa dell'acqua,Inaugurazione Casa dell'Acqua Artide a Via Vivaldi,Inaugurazione Casa dell'Acqua Artide a Via Vivaldi | Artide,143,"Artide celebra l'inaugurazione della Casa dell'Acqua in Via Vivaldi, realizzata per BrianzAcque, promuovendo sostenibilità e accesso all'acqua."
/l/blog-inaugurata-la-4-casa-dellacqua-del-comune-di-cesano-maderno-mi,article,casa dell'acqua,Inaugurata la Quarta Casetta dell'Acqua a Cesano Maderno,Inaugurata la Quarta Casetta dell'Acqua a Cesano Mad… | Artide,146,"Inaugurata la quarta casetta dell'acqua a Cesano Maderno: promozione della sostenibilità, acqua gratuita e riduzione dell'uso di plastica monouso."
/l/blog-inaugurata-la-4-casetta-dell-acqua-a-rho,article,casa dell'acqua,Inaugurata a RHO (MI) la 4° Casa dell'Acqua,Inaugurata a RHO (MI) la 4° Casa dell'Acqua | Artide,156,"Inaugurata la quarta Casa dell’Acqua a Terrazzano (Rho): acqua naturale e frizzante gratuita, sostenibilità ambientale e educazione idrica in collaborazion…"
/l/blog-inaugurata-la-casa-dellacqua-del-comune-di-barlassina-mb,article,casa dell'acqua,Nuovo Chiosco e Riapertura della Casetta dell'Acqua a Brianza,Nuovo Chiosco e Riapertura della Casetta dell'Acqua … | Artide,151,Inaugurata la Casa dell'Acqua a Barlassina: scopri i vantaggi ambientali e sociali di questa nuova iniziativa per un futuro più sostenibile in Brianza.
/l/blog-inaugurata-la-casa-dellacqua-del-comune-di-colico,article,casa dell'acqua,Nuova Casetta dell'Acqua Attivata a Colico,Nuova Casetta dell'Acqua Attivata a Colico | Artide,157,Inaugurata la Casa dell'Acqua a Colico: un servizio innovativo per un consumo responsabile. Scopri come ridurre la plastica con l'erogazione tramite tessera!
/l/blog-inaugurata-la-casa-dellacqua-del-comune-di-sedriano-mi,article,casa dell'acqua,Nuova Casa dell'Acqua a Sedriano per Tutti,Nuova Casa dell'Acqua a Sedriano per Tutti | Artide,152,"Sedriano festeggia l'inaugurazione della Casa dell'Acqua, un passo importante per la sostenibilità e la valorizzazione delle risorse idriche nel comune."
/l/blog-inaugurata-la-casa-dellacqua-del-comune-di-villasanta,article,casa dell'acqua,Nuovo Chiosco dell'Acqua Aperto a Villasanta,Nuovo Chiosco dell'Acqua Aperto a Villasanta | Artide,127,"Scopri il nuovo chiosco dell'acqua di BrianzAcque a Villasanta, che promuove l'uso sostenibile dell'acqua e riduce la plastica."
/l/blog-inaugurata-la-casetta-dell-acqua-a-paderno-d-adda,article,casa dell'acqua,Inaugurata a Paderno d'Adda una nuova Casa dell'Acqua,Inaugurata a Paderno d'Adda una nuova Casa dell'Acqua | Artide,137,Scopri la nuova Casa dell'Acqua a Paderno d'Adda: un passo avanti verso la sostenibilità e il consumo responsabile delle risorse idriche.
/l/blog-l-importanza-dei-filtri-per-l-acqua-e-le-casette-dell-acqua,article,casa dell'acqua,L'Importanza dei Filtri per l'Acqua e le Casette dell'Acqua,L'Importanza dei Filtri per l'Acqua e le Casette del… | Artide,143,"Filtri per l'acqua: migliorano la qualità e il gusto del rubinetto. Scopri le casette dell'acqua BrianzAcque, per acqua filtrata e sostenibile."
/l/blog-numero-verde,article,casa dell'acqua,Numero Verde Segnalazione Guasti: Assistenza Immediata,Numero Verde Segnalazione Guasti: Assistenza Immediata | Artide,134,Scopri il nostro numero verde per segnalare guasti e risolvere problemi rapidamente. Assistenza rapida ed efficace per ogni necessità.
/l/blog-padania-acque-qr-code-che-fa-risparmiare,article,casa dell'acqua,Innovazione Padania Acque: Codici QR per le Case dell'Acqua,Innovazione Padania Acque: Codici QR per le Case del… | Artide,156,"Padania Acque innova il prelievo d'acqua con QR code nelle case dell'acqua, promuovendo sostenibilità e risparmio. Scopri di più sulle soluzioni ecologiche!"
/l/blog-schneider-electric-cyber-resilienza-nel-settore-manifatturiero,article,casa dell'acqua,Cyber-Resilienza per il Settore Manifatturiero,Cyber-Resilienza per il Settore Manifatturiero | Artide,151,"Scopri come Artide affronta la Cyber-Resilienza nel settore manifatturiero, analizzando normative e strategie per garantire la sicurezza delle aziende."
/l/blog-schneider-shaping-the-future-oem-market,article,casa dell'acqua,Schneider e l'OEM Italiano: Futuro Sostenibile,Schneider e l'OEM Italiano: Futuro Sostenibile | Artide,154,"Scopri l'evento Schneider a Lazise: un'opportunità unica per esplorare le tendenze OEM, con un focus su sostenibilità e innovazioni tecnologiche avanzate."
/l/blog-senago-inaugura-la-seconda-casa-dell-acqua,article,casa dell'acqua,Inaugura la seconda Casa dell'Acqua a Senago (MI),Inaugura la seconda Casa dell'Acqua a Senago (MI) | Artide,142,"Venerdì 26 luglio, Senago inaugura la seconda Casa dell'Acqua in via Fosse Ardeatine, offrendo ai cittadini acqua gratuita e sicura per tutti."
/l/blog-sicurezza-alimentare-casa-dell-acqua-erogatori,article,casa dell'acqua,La sicurezza alimentare negli erogatori e case dell'acqua,La sicurezza alimentare negli erogatori e case dell'… | Artide,158,Scopri come gli erogatori e le case dell'acqua di Artide garantiscono sicurezza e qualità grazie alla certificazione ISO 22.000. Un impegno per la tua salute.
